date;all;female;male;young;adult;weather;maxtemp;RH;maxwind
09/04/2013;2332;1115;1108;1122;1210;Rain;13;87;0
10/04/2013;2801;1217;1459;1239;1562;Rain;14;94;45
11/04/2013;2375;1168;1099;1059;1316;Rain;14;82;55
12/04/2013;3447;1617;1651;1606;1841;Sunny;13;78;0
13/04/2013;4823;2469;2117;2318;2505;Rain;16;81;37
14/04/2013;4978;2564;2223;2289;2689;Rain;16;73;0
15/04/2013;2706;1192;1401;1148;1558;Sunny;17;80;0
16/04/2013;2639;1220;1308;1110;1529;Sunny;17;70;32
17/04/2013;2647;1178;1329;1152;1495;Sunny;16;72;0
18/04/2013;2612;1257;1228;1064;1548;Sunny;16;72;53
19/04/2013;3530;1749;1581;1546;1984;Sunny;16;62;0
20/04/2013;4440;2256;1970;2082;2358;Sunny;18;47;50
21/04/2013;3469;1695;1601;1594;1875;Sunny;16;49;0
22/04/2013;2542;1154;1279;1042;1500;Sunny;17;67;29
23/04/2013;2779;1324;1341;1159;1620;Sunny;19;51;35
24/04/2013;4488;2603;1686;1752;2736;Sunny;18;62;27
25/04/2013;5506;3095;2162;2298;3208;Sunny;20;54;48
26/04/2013;2954;1269;1579;1268;1686;Sunny;16;80;55
27/04/2013;2542;1187;1254;1099;1443;Sunny;13;63;74
28/04/2013;2892;1246;1522;1274;1618;Sunny;10;55;55
29/04/2013;2445;942;1388;1021;1424;Rain;11;60;50
30/04/2013;2231;896;1231;906;1325;Sunny;12;66;0
01/05/2013;3617;1589;1879;1670;1947;Sunny;14;68;34
02/05/2013;2113;885;1120;897;1216;Sunny;16;64;0
03/05/2013;2363;932;1336;973;1390;Sunny;18;53;0
04/05/2013;3728;1690;1884;1612;2116;Sunny;20;48;27
05/05/2013;3643;1718;1781;1620;2023;Sunny;19;42;32
06/05/2013;2249;917;1258;888;1361;Sunny;17;53;0
07/05/2013;2214;834;1291;879;1335;Rain;19;46;0
08/05/2013;1668;902;766;711;957;Rain;19;56;29
09/05/2013;1121;497;575;532;589;Sunny;19;72;0
10/05/2013;2160;939;1135;966;1194;Sunny;17;68;0
11/05/2013;2107;1004;1029;1034;1073;Sunny;16;65;48
12/05/2013;2281;975;1220;1045;1236;Sunny;18;63;0
13/05/2013;1301;538;708;569;732;Sunny;22;51;29
14/05/2013;1628;641;913;708;920;Sunny;16;74;52
15/05/2013;1344;580;706;655;689;Rain;13;68;71
16/05/2013;1417;585;769;645;772;Rain;12;77;45
17/05/2013;1616;653;900;728;888;Rain;12;76;48
18/05/2013;2112;964;1064;1067;1045;Rain;13;70;47
19/05/2013;2210;988;1112;1046;1164;Rain;12;72;0
20/05/2013;1402;585;764;629;773;Sunny;13;68;45
21/05/2013;1504;659;795;696;808;Sunny;16;68;50
22/05/2013;2262;994;1175;949;1313;Sunny;17;72;26
23/05/2013;2146;989;1052;985;1161;Sunny;18;71;0
24/05/2013;2564;1291;1176;1241;1323;Sunny;18;68;47
25/05/2013;3318;1719;1476;1681;1637;Sunny;17;67;50
26/05/2013;3514;1867;1502;1773;1741;Sunny;16;68;48
27/05/2013;2258;1072;1103;1056;1202;Rain;14;73;0
28/05/2013;2341;1126;1125;1105;1236;Rain;14;67;60
29/05/2013;2186;972;1111;1008;1178;Sunny;14;74;39
30/05/2013;1794;825;901;843;951;Sunny;14;69;52
31/05/2013;2643;1211;1327;1210;1433;Sunny;18;64;47
01/06/2013;4308;2252;1870;2158;2150;Sunny;20;52;35
02/06/2013;3593;1792;1638;1735;1858;Sunny;23;43;42
03/06/2013;2025;927;976;883;1142;Sunny;24;37;39
04/06/2013;1746;857;821;773;973;Sunny;23;39;39
05/06/2013;3256;1974;1146;1157;2099;Sunny;19;69;0
06/06/2013;3579;2236;1229;1263;2316;Sunny;16;67;0
07/06/2013;4101;2529;1408;1671;2430;Rain;14;79;40
08/06/2013;4917;2675;2023;2168;2749;Rain;13;87;0
09/06/2013;4490;2662;1633;1704;2786;Rain;16;82;0
10/06/2013;3109;1520;1452;1555;1554;Sunny;17;75;0
11/06/2013;1869;916;853;846;1023;Sunny;18;84;0
12/06/2013;1625;771;783;770;855;Sunny;20;74;32
13/06/2013;2685;1329;1236;1250;1435;Sunny;19;73;45
14/06/2013;3100;1314;1659;1312;1788;Sunny;19;62;53
15/06/2013;2418.75;1307.75;1111;1031;1387.75;Sunny;19;69;0
16/06/2013;1738;940;798;741;997;Rain;18;74;0
17/06/2013;1056.25;571.25;485;450;606.25;Rain;17;70;45
18/06/2013;375;194;170;191;184;Rain;17;77;55
19/06/2013;1689;769;839;794;895;Sunny;17;76;47
20/06/2013;2569;1298;1166;1149;1420;Sunny;17;66;53
21/06/2013;2722;1238;1346;1190;1532;Sunny;18;74;53
22/06/2013;3290;1587;1585;1409;1881;Sunny;22;59;48
23/06/2013;3494;1701;1650;1460;2034;Sunny;21;55;53
24/06/2013;2822;1400;1314;1191;1631;Sunny;27;33;35
